epoch,step,train_loss,val_loss
0,50,,0.46587061882019043
0,50,0.5522633194923401,
1,101,,0.46080970764160156
1,101,0.46693190932273865,
2,152,,0.45807868242263794
2,152,0.4575055241584778,
3,203,,0.4563941955566406
3,203,0.43903279304504395,
4,254,,0.45689287781715393
4,254,0.40950533747673035,
5,305,,0.46238407492637634
5,305,0.38314715027809143,
6,356,,0.45771077275276184
6,356,0.3679232597351074,
7,407,,0.4685068428516388
7,407,0.3644085228443146,
8,408,,0.45637527108192444
