epoch,step,train_loss,val_loss
0,131,,0.4286145567893982
0,131,0.5147807598114014,
1,263,,0.39464902877807617
1,263,0.4051889479160309,
2,395,,0.38337984681129456
2,395,0.3830872178077698,
3,527,,0.38383015990257263
3,527,0.3670717179775238,
4,659,,0.3820289075374603
4,659,0.35560673475265503,
5,791,,0.3751981854438782
5,791,0.3493068516254425,
6,923,,0.3736841082572937
6,923,0.34035295248031616,
7,1055,,0.37704262137413025
7,1055,0.3311430513858795,
8,1187,,0.38117730617523193
8,1187,0.3250945806503296,
9,1319,,0.3746623694896698
9,1319,0.32263579964637756,
10,1320,,0.3752785623073578
