epoch,step,train_loss,val_loss
0,50,,1.056694507598877
0,50,1.0846794843673706,
1,101,,1.0479949712753296
1,101,1.0559399127960205,
2,152,,1.038313627243042
2,152,1.0451772212982178,
3,203,,1.0201008319854736
3,203,1.0109816789627075,
4,254,,1.009961724281311
4,254,0.953032910823822,
5,305,,1.0665271282196045
5,305,0.8962486386299133,
6,356,,1.1380771398544312
6,356,0.8606470823287964,
7,407,,1.0796668529510498
7,407,0.840283989906311,
8,458,,1.0452922582626343
8,458,0.8351731896400452,
9,459,,1.0058385133743286
