epoch,step,train_loss,val_loss
0,50,,1.0506712198257446
0,50,1.0851144790649414,
1,101,,1.0430903434753418
1,101,1.056839108467102,
2,152,,1.0393425226211548
2,152,1.0466047525405884,
3,203,,1.0284199714660645
3,203,1.0153976678848267,
4,254,,1.0410712957382202
4,254,0.969269871711731,
5,305,,1.012382984161377
5,305,0.933817446231842,
6,356,,0.9878384470939636
6,356,0.8916108012199402,
7,407,,0.9887951016426086
7,407,0.856278657913208,
8,458,,0.996225118637085
8,458,0.8291237950325012,
9,509,,0.9988664984703064
9,509,0.8163504600524902,
10,510,,0.9922463297843933
