epoch,step,train_loss,val_loss
0,50,,0.6903520226478577
0,50,0.6922805309295654,
1,101,,0.6826028227806091
1,101,0.6804922819137573,
2,152,,0.6919659972190857
2,152,0.6608240604400635,
3,203,,0.6577357649803162
3,203,0.6483214497566223,
4,254,,0.6545429229736328
4,254,0.6198251247406006,
5,305,,0.6770102977752686
5,305,0.5792832374572754,
6,356,,0.6867167949676514
6,356,0.5490776300430298,
7,407,,0.6842373013496399
7,407,0.5275357961654663,
8,458,,0.7192445397377014
8,458,0.501734733581543,
9,459,,0.6569177508354187
