epoch,step,train_loss,val_loss
0,142,,0.4131682217121124
0,142,0.48096367716789246,
1,285,,0.39709681272506714
1,285,0.41068804264068604,
2,428,,0.3983718752861023
2,428,0.3844761252403259,
3,571,,0.39882591366767883
3,571,0.36582016944885254,
4,714,,0.3927568793296814
4,714,0.346666157245636,
5,857,,0.4038897156715393
5,857,0.3276588022708893,
6,1000,,0.3975012004375458
6,1000,0.318906307220459,
7,1143,,0.39885836839675903
7,1143,0.31122061610221863,
8,1286,,0.40086525678634644
8,1286,0.2999318242073059,
9,1287,,0.3927568793296814
