epoch,step,train_loss,val_loss
0,50,,0.4712532162666321
0,50,0.5442212820053101,
1,101,,0.4569065570831299
1,101,0.45049476623535156,
2,152,,0.45017850399017334
2,152,0.4388328194618225,
3,203,,0.4404083490371704
3,203,0.4153604805469513,
4,254,,0.4304138422012329
4,254,0.38412055373191833,
5,305,,0.4305001199245453
5,305,0.3590577244758606,
6,356,,0.4272967576980591
6,356,0.3413718342781067,
7,407,,0.43469035625457764
7,407,0.32743364572525024,
8,458,,0.4349766969680786
8,458,0.3212479054927826,
9,509,,0.4312644302845001
9,509,0.3147208094596863,
10,510,,0.42698556184768677
