epoch,step,train_loss,val_loss
0,50,,1.0553042888641357
0,50,1.079474925994873,
1,101,,1.0513767004013062
1,101,1.0562952756881714,
2,152,,1.044603705406189
2,152,1.0478206872940063,
3,203,,1.0306148529052734
3,203,1.0204710960388184,
4,254,,1.0140525102615356
4,254,0.9611073732376099,
5,305,,1.0517128705978394
5,305,0.9111746549606323,
6,356,,1.024020791053772
6,356,0.8746138215065002,
7,407,,1.0337945222854614
7,407,0.8616896271705627,
8,458,,1.017130970954895
8,458,0.8359788656234741,
9,459,,1.0214905738830566
