epoch,step,train_loss,val_loss
0,142,,0.42308980226516724
0,142,0.47780841588974,
1,285,,0.4051319658756256
1,285,0.4065461754798889,
2,428,,0.4266183376312256
2,428,0.3837093114852905,
3,571,,0.41277170181274414
3,571,0.36212629079818726,
4,714,,0.40226152539253235
4,714,0.3412122130393982,
5,857,,0.41117027401924133
5,857,0.32575538754463196,
6,1000,,0.406247079372406
6,1000,0.31592074036598206,
7,1143,,0.4075208008289337
7,1143,0.3076498210430145,
8,1286,,0.4117087125778198
8,1286,0.29827359318733215,
9,1287,,0.40226152539253235
