epoch,step,train_loss,val_loss
0,131,,0.43769600987434387
0,131,0.516225278377533,
1,263,,0.4022088348865509
1,263,0.4072188138961792,
2,395,,0.38863518834114075
2,395,0.38309213519096375,
3,527,,0.3791602849960327
3,527,0.3669087588787079,
4,659,,0.381024569272995
4,659,0.3525555729866028,
5,791,,0.37719792127609253
5,791,0.3427034914493561,
6,923,,0.3781813979148865
6,923,0.3346331715583801,
7,1055,,0.38240107893943787
7,1055,0.3315674960613251,
8,1187,,0.38837000727653503
8,1187,0.3241848647594452,
9,1319,,0.3805113136768341
9,1319,0.3192873001098633,
10,1320,,0.3783285617828369
