epoch,step,train_loss,val_loss
0,50,,0.4778459966182709
0,50,0.559759259223938,
1,101,,0.47077488899230957
1,101,0.46607038378715515,
2,152,,0.46771371364593506
2,152,0.456557959318161,
3,203,,0.46505749225616455
3,203,0.4397484064102173,
4,254,,0.45721814036369324
4,254,0.40838250517845154,
5,305,,0.45978862047195435
5,305,0.3754614591598511,
6,356,,0.4744103252887726
6,356,0.36172813177108765,
7,407,,0.46819931268692017
7,407,0.3508477807044983,
8,458,,0.45918092131614685
8,458,0.34112146496772766,
9,459,,0.45742538571357727
