epoch,step,train_loss,val_loss
0,131,,0.6565786600112915
0,131,0.6764394044876099,
1,263,,0.6268947124481201
1,263,0.646653413772583,
2,395,,0.615577220916748
2,395,0.6153340339660645,
3,527,,0.610201358795166
3,527,0.5773488879203796,
4,659,,0.6057161092758179
4,659,0.5387038588523865,
5,791,,0.6062754392623901
5,791,0.5054856538772583,
6,923,,0.6321238875389099
6,923,0.49988603591918945,
7,1055,,0.6545332670211792
7,1055,0.47219860553741455,
8,1187,,0.6244950294494629
8,1187,0.4414769411087036,
9,1188,,0.6047659516334534
