epoch,step,train_loss,val_loss
0,50,,0.6905260682106018
0,50,0.6941462159156799,
1,101,,0.6887403130531311
1,101,0.6915590763092041,
2,152,,0.69012451171875
2,152,0.685503363609314,
3,203,,0.6640706658363342
3,203,0.6632959842681885,
4,254,,0.6412506103515625
4,254,0.6271386742591858,
5,305,,0.6535748839378357
5,305,0.572993278503418,
6,356,,0.689787745475769
6,356,0.5253759622573853,
7,407,,0.6859524250030518
7,407,0.5005102157592773,
8,458,,0.695787787437439
8,458,0.4954790771007538,
9,459,,0.6425626873970032
