epoch,step,train_loss,val_loss
0,50,,0.4630221426486969
0,50,0.5357018709182739,
1,101,,0.4490491449832916
1,101,0.4518250524997711,
2,152,,0.4295322299003601
2,152,0.4379444718360901,
3,203,,0.41699540615081787
3,203,0.40877681970596313,
4,254,,0.4158041775226593
4,254,0.38704413175582886,
5,305,,0.4228692948818207
5,305,0.3687790334224701,
6,356,,0.4149002730846405
6,356,0.3534540832042694,
7,407,,0.412679523229599
7,407,0.34144270420074463,
8,458,,0.4143892228603363
8,458,0.3298768401145935,
9,509,,0.4138900637626648
9,509,0.32204189896583557,
10,510,,0.412679523229599
