epoch,step,train_loss,val_loss
0,142,,0.4136567711830139
0,142,0.48010778427124023,
1,285,,0.4006116986274719
1,285,0.40638768672943115,
2,428,,0.40168333053588867
2,428,0.3803810477256775,
3,571,,0.41118741035461426
3,571,0.3640587031841278,
4,714,,0.39286118745803833
4,714,0.34626033902168274,
5,857,,0.3937470018863678
5,857,0.33081555366516113,
6,1000,,0.3947261571884155
6,1000,0.32052817940711975,
7,1143,,0.39226028323173523
7,1143,0.3109159469604492,
8,1286,,0.3934759795665741
8,1286,0.300822377204895,
9,1287,,0.39226028323173523
