epoch,step,train_loss,val_loss
0,50,,0.6767356991767883
0,50,0.6848385334014893,
1,101,,0.6685706377029419
1,101,0.667809784412384,
2,152,,0.6680583357810974
2,152,0.6347572207450867,
3,203,,0.6694584488868713
3,203,0.59706711769104,
4,254,,0.6633655428886414
4,254,0.5625829100608826,
5,305,,0.6508042812347412
5,305,0.5433557033538818,
6,356,,0.6588745713233948
6,356,0.5280435085296631,
7,407,,0.6581705212593079
7,407,0.5052791237831116,
8,458,,0.6636738777160645
8,458,0.4949535131454468,
9,509,,0.6687082648277283
9,509,0.48929017782211304,
10,510,,0.651466965675354
