epoch,step,train_loss,val_loss
0,50,,0.473723441362381
0,50,0.5297315120697021,
1,101,,0.46377667784690857
1,101,0.4553424119949341,
2,152,,0.45426902174949646
2,152,0.4531944990158081,
3,203,,0.45261916518211365
3,203,0.4516395330429077,
4,254,,0.45024505257606506
4,254,0.4514486491680145,
5,305,,0.4497312605381012
5,305,0.45066943764686584,
6,356,,0.4494907855987549
6,356,0.45026785135269165,
7,407,,0.44939324259757996
7,407,0.44888538122177124,
8,458,,0.44938018918037415
8,458,0.4479372501373291,
9,459,,0.44938018918037415
