epoch,step,train_loss,val_loss
0,50,,0.4701363444328308
0,50,0.5487688779830933,
1,101,,0.4627217948436737
1,101,0.47259756922721863,
2,152,,0.4616645574569702
2,152,0.4699264168739319,
3,203,,0.46105489134788513
3,203,0.46827390789985657,
4,254,,0.4570537507534027
4,254,0.46307751536369324,
5,305,,0.4501843750476837
5,305,0.45069196820259094,
6,356,,0.4606868028640747
6,356,0.42724552750587463,
7,407,,0.4414961338043213
7,407,0.4114411473274231,
8,458,,0.43929821252822876
8,458,0.38917264342308044,
9,509,,0.43708592653274536
9,509,0.3722327947616577,
10,510,,0.43708592653274536
