epoch,step,train_loss,val_loss
0,50,,0.45927494764328003
0,50,0.5420684814453125,
1,101,,0.4509584307670593
1,101,0.4518909454345703,
2,152,,0.44580012559890747
2,152,0.4417754113674164,
3,203,,0.43646788597106934
3,203,0.42109185457229614,
4,254,,0.42879801988601685
4,254,0.39275920391082764,
5,305,,0.432684063911438
5,305,0.36773353815078735,
6,356,,0.4285410940647125
6,356,0.3535924553871155,
7,407,,0.43110382556915283
7,407,0.34296679496765137,
8,458,,0.4335844814777374
8,458,0.33519983291625977,
9,459,,0.42830875515937805
