epoch,step,train_loss,val_loss
0,131,,0.4331290125846863
0,131,0.5160335898399353,
1,263,,0.3934246599674225
1,263,0.40735486149787903,
2,395,,0.38182350993156433
2,395,0.3842284083366394,
3,527,,0.37637513875961304
3,527,0.36894384026527405,
4,659,,0.37960392236709595
4,659,0.3560575246810913,
5,791,,0.38100436329841614
5,791,0.34779778122901917,
6,923,,0.3774224817752838
6,923,0.3430633246898651,
7,1055,,0.38196152448654175
7,1055,0.3358013331890106,
8,1056,,0.37892013788223267
