epoch,step,train_loss,val_loss
0,50,,0.4690057635307312
0,50,0.5432231426239014,
1,101,,0.46909523010253906
1,101,0.4745497703552246,
2,152,,0.46427294611930847
2,152,0.4714280664920807,
3,203,,0.46391332149505615
3,203,0.47016388177871704,
4,254,,0.4627489149570465
4,254,0.46803101897239685,
5,305,,0.45469900965690613
5,305,0.46202272176742554,
6,356,,0.45094773173332214
6,356,0.4419005215167999,
7,407,,0.4605526626110077
7,407,0.4176846444606781,
8,458,,0.4393787086009979
8,458,0.40284499526023865,
9,509,,0.43865492939949036
9,509,0.3884829878807068,
10,510,,0.43865492939949036
