epoch,step,train_loss,val_loss
0,50,,1.0555599927902222
0,50,1.0715028047561646,
1,101,,1.0547239780426025
1,101,1.0496187210083008,
2,152,,1.0455180406570435
2,152,1.0423592329025269,
3,203,,1.036308765411377
3,203,1.0087295770645142,
4,254,,1.0329174995422363
4,254,0.9529781937599182,
5,305,,1.0751936435699463
5,305,0.8925220370292664,
6,356,,1.127163290977478
6,356,0.8570163249969482,
7,407,,1.062677025794983
7,407,0.8491330146789551,
8,458,,1.0390082597732544
8,458,0.8333394527435303,
9,459,,1.031907558441162
